theta channel 57,theta channel 59,theta channel 50,bin 3 channel 11,medfreq channel 43,gamma channel 43,bin 4 channel 20,bin 6 channel 11,meanfreq channel 23,bin 4 channel 49,maxfreq channel 24,bin 3 channel 9,bin 7 channel 20,maxfreq channel 43,bin 6 channel 20,theta channel 52,maxfreq channel 23,gamma channel 23,bin 7 channel 49,delta channel 43,delta channel 51,bin 2 channel 11,bin 3 channel 49,medfreq channel 23,theta channel 58,medfreq channel 56,bin 4 channel 9,gamma channel 54,medfreq channel 33,medfreq channel 59,medfreq channel 54,bin 7 channel 9,bin 4 channel 11,meanfreq channel 33,mid range beta channel 7,meanfreq channel 59,bin 6 channel 9,high range beta channel 43,maxfreq channel 54,maxfreq channel 51,bin 5 channel 25,medfreq channel 47,gamma channel 33,bin 6 channel 18,bin 8 channel 20,var channel 43,bin 7 channel 11,high range beta channel 47,meanfreq channel 56,gamma channel 36
0.0152310518578843,0.0253743735401554,0.0618089039238675,176.0,10.2,0.0023602066634428,962.0,1510.0,26.39699594916458,958.0,18.8,174.0,517.0,10.4,1284.0,0.1709514843842492,10.6,0.0802937473867896,633.0,0.032133313463485,0.0554962464869658,41.0,347.0,20.200000000000003,0.0058043662128099,37.2,625.0,0.4816743715230218,39.6,26.4,37.2,851.0,556.0,40.69014203113077,0.1905182212762108,33.490786545607364,1500.0,0.0048279248166174,23.200000000000003,10.6,1374.0,32.4,0.6807985342362726,1273.0,163.0,23.943347167071977,918.0,0.1853501724837082,38.68511906141113,0.0036140699529225
0.0052147467458543,0.0124636995916183,0.0107091955387064,293.0,5.0,0.0041193615450819,774.0,1350.0,27.073693713721628,674.0,0.8,327.0,749.0,0.2,1226.0,0.0149555416985124,0.2,0.0796147176597541,962.0,0.7615284144038057,0.3340147522087206,132.0,231.0,21.4,0.0060031751998592,11.4,853.0,0.0543097060374601,36.6,35.6,11.8,661.0,701.0,36.66079508184468,0.0089879519183565,36.49582883389333,1310.0,0.0012654836032463,11.2,11.2,1304.0,11.4,0.4643598136522754,1339.0,388.0,9.113731405645238,723.0,0.0098245089621419,22.19692131390162,0.0034889513864611
0.0801523726191507,0.0447424430350018,0.0712578947677882,244.0,10.8,0.0443056743403658,525.0,1532.0,26.1211179548809,783.0,20.4,240.0,1029.0,10.8,1331.0,0.0850065477049419,11.0,0.0717216792962842,786.0,0.2696916499681532,0.054216260097568,35.0,263.0,20.0,0.0274662899012559,35.2,657.0,0.5029316121848166,44.8,26.8,35.2,762.0,693.0,42.87991256972514,0.0243341243554028,31.14614338440544,1537.0,0.0148192595287918,21.4,14.8,1315.0,30.4,0.689886552148472,1349.0,619.0,14.040258742241583,738.0,0.1586503689343266,37.15569601778095,0.0031416139086986
0.0916229216721829,0.0627321539023623,0.2004363278408387,410.0,10.4,0.0115769385092566,837.0,1251.0,20.492396900879687,1124.0,2.4000000000000004,396.0,735.0,3.6,1190.0,0.0521186620503581,2.0,0.030613136376987,382.0,0.2697094319565973,0.3354394804575616,88.0,287.0,9.8,0.04367235559878,22.200000000000003,858.0,0.0495984454632603,14.4,23.0,15.0,767.0,949.0,23.56840257338042,0.0207891451903566,29.846695976504016,1172.0,0.0272003876795403,15.2,7.2,1141.0,14.4,0.0601191699439936,1018.0,287.0,8.87327586938529,572.0,0.0258090770611556,29.660762283521752,0.0053128630219924
0.0068222655906323,0.0051525257399198,0.068394622441516,226.0,9.2,0.0014222523826323,858.0,1404.0,28.22496051744486,980.0,57.0,211.0,691.0,9.2,1330.0,0.0299350957855164,11.4,0.1464040084540523,706.0,0.0561875993253109,0.0511172432119643,48.0,326.0,23.4,0.005186383295893,34.4,613.0,0.4885177177326357,42.400000000000006,32.4,34.4,989.0,671.0,42.66904435777313,0.1032768078226799,35.40321987687153,1423.0,0.0030278953944583,51.0,10.2,1536.0,31.6,0.6645195240442474,1152.0,296.0,20.535616171208755,952.0,0.1933336632116384,37.80042081116101,0.0022263663853884
0.7150086007471464,0.8351721738429677,0.3235937046212491,833.0,5.6000000000000005,0.0018790411555179,842.0,610.0,13.696152858693967,899.0,2.4000000000000004,895.0,726.0,2.0,1218.0,0.2759131536336104,3.4000000000000004,0.0049726823068871,617.0,0.7454161210688701,0.6240659800177858,223.0,388.0,9.2,0.4271660355101332,5.4,1461.0,0.0060436282419689,5.800000000000001,5.4,6.0,278.0,1490.0,12.637419101225314,0.017009530290834,9.113767123841056,605.0,0.0038683586736821,1.2000000000000002,1.0,868.0,6.6000000000000005,0.0043067100928046,772.0,314.0,7.723641469438554,295.0,0.0070838210544456,10.847477756500282,0.0019159376491982
0.0714523310210186,0.1725761557910017,0.1598671892197194,619.0,49.8,0.9759183848949088,814.0,867.0,42.49227567354689,573.0,2.8000000000000003,789.0,847.0,50.0,1164.0,0.1049587624620919,26.6,0.6648534783021502,958.0,0.0121119146705796,0.150208893037239,122.0,126.0,43.0,0.0111434191951864,25.4,1365.0,0.2479969760051753,32.6,15.4,23.4,296.0,1445.0,37.35641390742201,0.1192748007284,23.60883956191928,761.0,0.0002496632127436,11.2,11.2,911.0,22.0,0.3967366886461814,1025.0,357.0,28.321038717119126,256.0,0.0765457904982217,31.180034002807727,0.0179165937630188
0.0961309965922416,0.0259491776506859,0.262117514371288,455.0,6.0,0.0274902174638012,1118.0,993.0,28.93244489607281,639.0,50.0,331.0,472.0,3.8,1020.0,0.0081770918314258,1.4,0.1953009635994944,889.0,0.5848937475778163,0.8632836810546122,86.0,154.0,26.8,0.0201771137007667,40.6,971.0,0.5350814736021136,18.0,40.2,29.0,681.0,1293.0,27.81943847838288,0.0076093495326911,39.509701179908106,1220.0,0.0065385328444765,50.0,0.4,736.0,37.6,0.1948957539019075,1790.0,138.0,3.606819800107089,328.0,0.0937766065254143,40.76212029476474,0.0544192803792318
0.0500848209025134,0.0644897911465609,0.0043477400704866,119.0,1.8,0.0002250960418278,693.0,1448.0,20.151477454159554,880.0,0.4,107.0,795.0,1.4,1484.0,0.0165358707032633,1.6,0.0223401783847487,664.0,0.9492431285759982,0.5511321293174958,60.0,310.0,10.6,0.0272478666082464,11.0,286.0,0.0016363041249675,16.8,10.8,11.0,901.0,295.0,21.55385397106267,0.0491273659472795,22.21664916747325,1862.0,0.0008828162232672,11.2,0.6000000000000001,1322.0,11.0,0.0467255946774253,1401.0,334.0,9.52151182164619,1445.0,0.018065302650862,18.431236691056725,0.0013092602736749
0.1000153001898103,0.0626352069372622,0.128199650148215,203.0,3.0,0.002104443488779,934.0,1455.0,36.06824451560333,1198.0,2.4000000000000004,403.0,624.0,1.4,1307.0,0.0717020991766798,2.2,0.3009035117449006,499.0,0.876317956618363,0.374161197762896,46.0,585.0,39.400000000000006,0.0082007327962135,15.2,940.0,0.0312932147671236,21.0,16.2,11.0,629.0,801.0,28.27128106966206,0.0071063038286834,23.64162527815304,1217.0,0.0010183157107487,1.4,50.0,1190.0,11.0,0.1686348151687084,1491.0,212.0,6.19950562045318,709.0,0.01101412814994,23.85800611882027,0.0011311136566755
